instance,source_file,n,density,replicate,scale,bound_time_seconds,upper_variables,lower_variables,upper_constraints,lower_constraints,mps_file,aux_file
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_1,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_1.txt,50,50,1,100,0.009422,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_1.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_1.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_2,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_2.txt,50,50,2,100,0.001925,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_2.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_2.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_3,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_3.txt,50,50,3,100,0.001936,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_3.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_3.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_4,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_4.txt,50,50,4,100,0.008064,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_4.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_4.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_5,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_5.txt,50,50,5,100,0.001950,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_5.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_5.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_6,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_6.txt,50,50,6,100,0.001969,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_6.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_6.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_7,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_7.txt,50,50,7,100,0.008130,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_7.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_7.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_8,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_8.txt,50,50,8,100,0.003409,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_8.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_8.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_9,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_9.txt,50,50,9,100,0.008110,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_9.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_9.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_10,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_10.txt,50,50,10,100,0.001873,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_10.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_50_10.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_1,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_1.txt,50,75,1,100,0.009835,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_1.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_1.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_2,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_2.txt,50,75,2,100,0.009540,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_2.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_2.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_3,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_3.txt,50,75,3,100,0.008693,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_3.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_3.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_4,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_4.txt,50,75,4,100,0.009650,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_4.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_4.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_5,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_5.txt,50,75,5,100,0.002067,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_5.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_5.aux
