instance,source_file,problem,formulation,linearcons,n,density,replicate,scale,input_objective_sense,reported_objective_sense,objective_scale,objective_multiplier,bound_time_seconds,upper_variables,lower_variables,upper_constraints,lower_constraints,mps_file,aux_file
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_1,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_1.txt,KP,DDRO_BI,D,10,100,1,100,min,max,100,-0.01,0.003655,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_1.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_1.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_2,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_2.txt,KP,DDRO_BI,D,10,100,2,100,min,max,100,-0.01,0.002491,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_2.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_2.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_3,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_3.txt,KP,DDRO_BI,D,10,100,3,100,min,max,100,-0.01,0.002151,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_3.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_3.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_4,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_4.txt,KP,DDRO_BI,D,10,100,4,100,min,max,100,-0.01,0.001767,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_4.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_4.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_5,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_5.txt,KP,DDRO_BI,D,10,100,5,100,min,max,100,-0.01,0.002215,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_5.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_5.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_6,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_6.txt,KP,DDRO_BI,D,10,100,6,100,min,max,100,-0.01,0.001784,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_6.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_6.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_7,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_7.txt,KP,DDRO_BI,D,10,100,7,100,min,max,100,-0.01,0.001748,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_7.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_7.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_8,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_8.txt,KP,DDRO_BI,D,10,100,8,100,min,max,100,-0.01,0.001762,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_8.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_8.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_9,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_9.txt,KP,DDRO_BI,D,10,100,9,100,min,max,100,-0.01,0.001525,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_9.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_9.aux
N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_10,instances/originalKP/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_10.txt,KP,DDRO_BI,D,10,100,10,100,min,max,100,-0.01,0.002493,65,20,146,31,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_10.mps,N10_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_r_10_100_10.aux
